2026-02-21 18:06:24,372 | INFO     | services.algo_engine | algo_engine.py:130 | register_algo | Registered algo: momentum_scalp (Momentum Scalping) enabled=True
2026-02-21 18:06:24,372 | INFO     | services.algo_engine | algo_engine.py:130 | register_algo | Registered algo: mean_reversion (Mean Reversion) enabled=True
2026-02-21 18:06:24,377 | INFO     | root | main.py:239 | <module> | New API routes mounted
2026-02-21 18:06:24,378 | INFO     | root | main.py:245 | <module> | WebSocket routes mounted
2026-02-21 18:06:24,378 | INFO     | root | main.py:60 | lifespan | ============================================================
2026-02-21 18:06:24,378 | INFO     | root | main.py:61 | lifespan | Starting GrowwBot API Server
2026-02-21 18:06:24,378 | INFO     | root | main.py:62 | lifespan | ============================================================
2026-02-21 18:06:24,378 | INFO     | root | main.py:65 | lifespan | Initializing database...
2026-02-21 18:06:24,378 | INFO     | root | main.py:67 | lifespan | Database initialized
2026-02-21 18:06:24,378 | INFO     | root | main.py:75 | lifespan | Services initialized
2026-02-21 18:06:24,378 | INFO     | root | main.py:78 | lifespan | Starting position monitor...
2026-02-21 18:06:24,379 | INFO     | services.position_monitor | position_monitor.py:49 | start | PositionMonitor started (poll every 5s)
2026-02-21 18:06:24,379 | INFO     | root | main.py:80 | lifespan | Position monitor started
2026-02-21 18:06:24,379 | INFO     | root | main.py:82 | lifespan | Starting algo engine...
2026-02-21 18:06:24,379 | INFO     | services.algo_engine | algo_engine.py:267 | _loop | AlgoEngine loop starting
2026-02-21 18:06:24,379 | INFO     | services.algo_engine | algo_engine.py:144 | start | AlgoEngine started with 2 algorithms: momentum_scalp, mean_reversion
2026-02-21 18:06:24,379 | INFO     | root | main.py:84 | lifespan | Algo engine started
2026-02-21 18:06:24,379 | INFO     | root | main.py:86 | lifespan | ✅ Server startup complete
2026-02-21 18:08:03,656 | INFO     | root | main.py:133 | logging_middleware | [16d8c3c8] → Request POST /api/backtest/run
2026-02-21 18:08:03,661 | INFO     | infrastructure | groww_client.py:120 | __init__ | GrowwClient initialized
2026-02-21 18:08:03,661 | INFO     | infrastructure | groww_client.py:254 | get_groww_client | Created new GrowwClient instance
